,rent,location,bedroom,bathroom,toilet,parking
0,4500000, Conservation Road Lekki Lagos,4.0,4.0,5.0,3.0
1,5500000, Osapa London Osapa Lekki Lagos,4.0,4.0,5.0,3.0
2,5500000, Bogije Bogije Ibeju Lekki Lagos,3.0,3.0,4.0,2.0
3,5500000, Beechwood Estate Bogije Ibeju Lekki Lagos,4.0,4.0,5.0,3.0
4,5500000, Eleko Eleko Ibeju Lekki Lagos,4.0,4.0,5.0,3.0
7,5500000, Lekki Phase 1 Lekki Lagos,4.0,5.0,5.0,3.0
8,1500000, Agungi Lekki Lagos,1.0,1.0,2.0,12.0
9,60000000, Lekki Lagos Lekki Lagos,15.0,15.0,20.0,20.0
10,1500000, Alagomeji Yaba Lagos. Alagomeji Yaba Lagos,2.0,2.0,3.0,1.0
11,13000000, In A Well Secured Mini Court Ikoyi Lagos,4.0,5.0,5.0,3.0
12,4000000, Osapa London Lekki Lagos,3.0,4.0,4.0,2.0
13,900000, Off Pedro Road Pedro Gbagada Lagos,2.0,2.0,3.0,1.0
14,4500000, Ikate Lekki Lagos,4.0,4.0,5.0,2.0
15,800000, Kilo Surulere Lagos,2.0,2.0,2.0,1.0
16,300000, Iran-la Through Alasia Opposite Lbs Alasia Ajah Lagos,1.0,1.0,1.0,2.0
17,1200000, Near Airportajao Estate Isolo Lagos,4.0,4.0,5.0,2.0
18,600000, Opp Harmony Estate Ado Ajah Lagos,2.0,2.0,2.0,1.0
19,15000000, Banana Island Ikoyi Lagos Ikoyi Lagos,3.0,3.0,4.0,2.0
20,6000000, Mende Maryland Lagos,5.0,5.0,6.0,4.0
21,10500000, Off Bishop Oluwole Victoria Island (VI) Lagos,3.0,3.0,4.0,2.0
22,5500000, Osapa London Osapa Lekki Lagos,4.0,4.0,5.0,3.0
23,5500000, Bogije Bogije Ibeju Lekki Lagos,3.0,3.0,4.0,2.0
24,5500000, Beechwood Estate Bogije Ibeju Lekki Lagos,4.0,4.0,5.0,3.0
25,5500000, Eleko Eleko Ibeju Lekki Lagos,4.0,4.0,5.0,3.0
28,5500000, Lekki Phase 1 Lekki Lagos,4.0,5.0,5.0,3.0
29,1500000, Agungi Lekki Lagos,1.0,1.0,2.0,12.0
30,60000000, Lekki Lagos Lekki Lagos,15.0,15.0,20.0,20.0
31,1500000, Alagomeji Yaba Lagos. Alagomeji Yaba Lagos,2.0,2.0,3.0,1.0
32,13000000, In A Well Secured Mini Court Ikoyi Lagos,4.0,5.0,5.0,3.0
33,4000000, Osapa London Lekki Lagos,3.0,4.0,4.0,2.0
34,900000, Off Pedro Road Pedro Gbagada Lagos,2.0,2.0,3.0,1.0
35,4500000, Ikate Lekki Lagos,4.0,4.0,5.0,2.0
36,800000, Kilo Surulere Lagos,2.0,2.0,2.0,1.0
37,300000, Iran-la Through Alasia Opposite Lbs Alasia Ajah Lagos,1.0,1.0,1.0,2.0
38,1200000, Near Airportajao Estate Isolo Lagos,4.0,4.0,5.0,2.0
39,600000, Opp Harmony Estate Ado Ajah Lagos,2.0,2.0,2.0,1.0
40,15000000, Banana Island Ikoyi Lagos Ikoyi Lagos,3.0,3.0,4.0,2.0
